City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Kagoro,NG,1600564514,9.6,8.38,69.3,97,100,4.52
Chervone,UA,1600564514,49.96,28.86,45.88,71,14,5.88
Okakarara,NA,1600564515,-20.58,17.43,58.17,33,0,1.5
Mitú,CO,1600564515,1.2,-70.17,73.76,97,100,1.19
Nantucket,US,1600564372,41.28,-70.1,50.0,53,1,8.05
Marawi,PH,1600564516,8.0,124.29,82.99,79,100,5.01
Batagay-Alyta,RU,1600564516,67.8,130.41,48.51,54,0,3.2
Tortolì,IT,1600564382,39.93,9.66,75.2,69,5,6.93
Kembé,CF,1600564516,4.62,21.89,68.77,98,100,2.39
Yelovo,RU,1600564516,57.05,54.92,42.17,89,100,14.12
Assiut,EG,1600564517,27.18,31.18,82.4,58,0,14.99
Adrar,MR,1600564517,20.5,-10.07,87.17,48,0,10.27
Bjørnevatn,NO,1600564517,69.67,29.98,35.6,86,100,12.75
Bitung,ID,1600564518,1.45,125.18,86.0,70,20,2.24
Nishifukuma,JP,1600564307,33.77,130.47,79.0,60,75,3.36
Codrington,AU,1600564518,-38.27,141.97,60.51,84,99,15.08
Agüimes,ES,1600564518,27.91,-15.45,71.6,78,20,17.22
Severnyy,RU,1600564518,50.68,36.55,46.4,81,0,4.47
Mahibadhoo,MV,1600564519,3.78,72.97,81.86,78,100,11.54
Ust'-Ilimsk,RU,1600564519,58.0,102.66,47.79,86,91,8.86
Kamaishi,JP,1600564519,39.27,141.88,68.0,82,75,4.7
Nome,US,1600564387,64.5,-165.41,48.2,70,90,16.11
Harar,ET,1600564580,9.31,42.13,58.62,89,18,6.31
Kyren,RU,1600564580,51.68,102.14,45.28,66,0,0.69
Plessisville,CA,1600564580,46.22,-71.76,45.0,81,18,3.58
Storforshei,NO,1600564580,66.4,14.52,46.0,93,100,1.01
Taltal,CL,1600564580,-25.4,-70.48,58.08,72,17,4.63
Sisimiut,GL,1600564581,66.94,-53.67,34.5,88,96,4.79
Noumea,NC,1600564563,-22.28,166.46,78.8,50,75,11.41
Oktyabr'skoye,RU,1600564581,43.06,44.74,46.4,93,0,2.24
Kourou,GF,1600564581,5.16,-52.65,80.6,88,100,4.7
Biltine,TD,1600564582,14.53,20.92,80.29,58,100,11.41
Lüderitz,NA,1600564582,-26.65,15.16,54.64,82,23,15.64
Tromsø,NO,1600564582,69.65,18.96,42.8,81,75,27.51
Bud,US,1600564582,39.45,-86.18,57.2,47,1,6.93
Agios Serafeim,GR,1600564582,38.8,22.7,66.0,83,69,1.01
Aklavik,CA,1600564583,68.22,-135.01,53.6,46,75,6.93
Taldan,RU,1600564583,53.67,124.8,54.28,52,0,3.71
Kitimat,CA,1600564583,54.05,-128.65,60.8,87,75,16.11
Paamiut,GL,1600564583,61.99,-49.67,36.72,79,0,7.49
São Miguel do Araguaia,BR,1600564583,-13.28,-50.16,84.11,28,0,1.34
San Felipe,VE,1600564584,10.34,-68.74,73.6,91,100,1.32
Icó,BR,1600564404,-6.4,-38.86,75.97,70,48,7.96
Boa Vista,BR,1600564370,2.82,-60.67,84.2,66,0,4.7
Dublin,US,1600564522,37.7,-121.94,84.2,32,1,9.17
Indore,IN,1600564455,22.72,75.83,73.4,94,40,7.29
Pandan,PH,1600564584,14.05,124.17,83.88,81,18,8.84
Swan Hill,AU,1600564585,-35.34,143.55,69.75,58,0,11.77
Geraldton,AU,1600564585,-28.77,114.6,60.8,44,90,17.22
Blythe,US,1600564585,33.61,-114.6,102.0,12,0,1.01
Carlsbad,US,1600564286,33.16,-117.35,80.6,69,1,9.17
Barra,BR,1600564364,-11.09,-43.14,78.51,41,0,10.02
Saquena,PE,1600564586,-4.67,-73.52,80.01,74,67,2.21
Islamey,RU,1600564586,43.68,43.45,51.8,66,0,3.22
Inhambane,MZ,1600564586,-23.86,35.38,69.62,85,0,1.16
Dolores,AR,1600564586,-36.31,-57.68,41.0,67,0,5.99
Saint-Augustin,CA,1600564586,51.23,-58.65,42.55,64,4,8.61
Udachny,RU,1600564587,66.42,112.4,42.8,56,89,6.71
Turukhansk,RU,1600564587,65.82,87.98,42.39,94,96,9.57
Muhos,FI,1600564587,64.81,25.99,33.8,83,68,2.24
Vanavara,RU,1600564587,60.34,102.28,44.6,85,93,11.5
Tārānagar,IN,1600564588,28.67,75.04,87.62,42,0,5.23
Letterkenny,IE,1600564588,54.95,-7.73,45.46,88,0,2.24
Grande Prairie,CA,1600564546,55.17,-118.8,62.6,67,75,10.29
Shizunai-furukawachō,JP,1600564588,42.33,142.37,68.99,65,100,7.09
Marzuq,YE,1600564588,14.4,46.47,75.94,48,14,1.43
Dudinka,RU,1600564445,69.41,86.18,44.6,93,92,6.71
Rocha,UY,1600564589,-34.48,-54.33,40.8,69,41,6.31
Hidalgotitlán,MX,1600564589,17.78,-94.63,84.2,70,75,5.1
San Quintín,MX,1600564649,30.48,-115.95,76.87,57,0,11.72
Skegness,GB,1600564650,53.14,0.34,57.99,87,20,9.17
Phan Thiet,VN,1600564650,10.93,108.1,81.48,72,100,2.1
Moroni,KM,1600564594,-11.7,43.26,73.53,67,0,1.77
Inírida,CO,1600564651,3.87,-67.92,77.9,82,67,0.67
Warrnambool,AU,1600564439,-38.38,142.48,60.01,89,82,8.99
Visby,SE,1600564651,57.64,18.3,53.01,93,0,4.7
Paraná,AR,1600564651,-31.73,-60.52,57.0,42,0,5.99
Korsakovo,RU,1600564651,53.27,37.36,43.38,94,1,10.87
Jiuquan,CN,1600564652,39.74,98.52,62.44,30,1,5.55
Magadan,RU,1600564652,59.57,150.8,52.05,49,33,13.62
Porto Santo,PT,1600564652,33.07,-16.34,68.0,77,20,3.36
Ixtapa,MX,1600564652,20.7,-105.2,86.0,79,90,2.24
Nacala,MZ,1600564653,-14.54,40.67,69.96,88,0,2.8
Alyangula,AU,1600564653,-13.85,136.42,86.0,66,40,11.41
Pryazha,RU,1600564653,61.69,33.62,41.0,80,0,8.95
Pendleton,US,1600564470,45.67,-118.79,73.4,38,20,14.99
Broome,US,1600564653,42.25,-75.83,44.6,65,1,9.17
Naryan-Mar,RU,1600564654,67.67,53.09,37.94,91,100,18.1
Zhangye,CN,1600564654,38.93,100.45,67.01,30,68,9.62
Santa Rosa,PH,1600564654,14.31,121.11,84.99,79,75,2.24
Singarāyakonda,IN,1600564654,15.25,80.03,78.13,87,100,11.52
Ørje,NO,1600564655,59.48,11.66,52.0,97,0,3.87
Killarney,IE,1600564655,52.05,-9.52,48.54,91,89,3.44
Duma,CN,1600564655,34.77,108.14,64.4,93,20,6.71
Lokosovo,RU,1600564655,61.13,74.82,46.17,96,100,9.91
Marsabit,KE,1600564656,2.33,37.99,60.3,82,1,18.72
Vallenar,CL,1600564656,-28.57,-70.76,60.04,59,0,1.45
Neftegorsk,RU,1600564656,52.8,51.17,44.6,80,89,19.91
Ust-Nera,RU,1600564656,64.57,143.2,47.8,53,1,5.55
Myre,NO,1600564656,69.1,15.95,46.4,87,100,13.87
Comodoro Rivadavia,AR,1600564657,-45.87,-67.5,48.2,61,0,9.13
Maţāy,EG,1600564657,28.42,30.78,77.23,69,0,19.15
Andilamena,MG,1600564657,-17.02,48.58,55.67,94,64,7.0
San Marcos,US,1600564486,33.14,-117.17,84.99,69,1,4.7
Gamba,GA,1600564657,-2.65,10.0,74.66,88,100,10.96
Yar-Sale,RU,1600564658,66.83,70.83,42.75,84,100,14.32
Asău,RO,1600564658,46.43,26.4,48.0,81,47,3.36
George,ZA,1600564658,-33.96,22.46,57.2,82,66,4.7
Mlonggo,ID,1600564658,-6.53,110.7,86.22,52,0,6.98
Leningradskiy,RU,1600564658,69.38,178.42,37.0,79,98,6.24
Vryburg,ZA,1600564659,-26.96,24.73,54.18,42,0,2.15
Lima,PE,1600564360,-12.04,-77.03,61.0,87,90,11.41
Sokoto,NG,1600564659,13.06,5.24,80.67,71,61,11.81
Aojiang,CN,1600564659,22.94,116.04,84.0,81,0,1.01
Basco,PH,1600564659,20.45,121.97,83.71,77,14,11.97
Vardø,NO,1600564660,70.37,31.11,42.06,71,96,14.41
Pulo,PH,1600564720,15.25,120.93,82.4,83,40,2.24
Kochubey,RU,1600564720,44.39,46.58,54.72,55,0,9.31
Maryborough,AU,1600564720,-25.53,152.7,81.5,50,46,4.16
Qingyuan,CN,1600564720,23.7,113.03,82.4,78,40,2.24
Tuensang,IN,1600564721,26.28,94.83,76.32,60,0,3.8
Reichenbach an der Fils,DE,1600564721,48.71,9.46,55.0,87,100,4.7
Teknāf,BD,1600564721,20.86,92.31,80.47,90,100,2.66
Sehithwa,BW,1600564721,-20.47,22.72,71.6,22,0,6.44
Bandarbeyla,SO,1600564721,9.49,50.81,77.34,75,100,22.62
Partūr,IN,1600564722,19.6,76.22,73.87,90,100,6.67
Santiago del Estero,AR,1600564722,-27.8,-64.26,58.24,34,0,5.84
Jennings,US,1600564722,38.72,-90.26,64.4,39,20,5.82
Parambu,BR,1600564628,-6.21,-40.69,80.04,32,69,3.4
Tolaga Bay,NZ,1600564722,-38.37,178.3,55.44,67,42,7.92
Pokhara,NP,1600564723,28.23,83.98,73.89,56,79,3.53
Volpago del Montello,IT,1600564723,45.78,12.11,64.4,82,5,4.7
Mandalgovi,MN,1600564723,45.76,106.27,52.12,56,100,24.83
Evanston,US,1600564633,42.04,-87.69,60.01,47,1,4.7
Verkhnevilyuysk,RU,1600564723,63.45,120.32,49.68,60,55,4.43
Saint-François,FR,1600564724,46.42,3.91,64.0,82,100,4.59
Mastic Beach,US,1600564724,40.77,-72.85,51.8,70,1,9.13
Baikunthpur,IN,1600564724,23.25,82.55,76.5,79,80,1.36
São Sebastião,BR,1600564536,-23.76,-45.41,72.73,82,100,3.02
Diré,ML,1600564724,12.28,-10.97,73.87,93,97,2.46
Port-Gentil,GA,1600564724,-0.72,8.78,76.82,85,100,16.06
Birjand,IR,1600564725,32.87,59.22,46.4,12,0,6.93
Sarai,RU,1600564725,53.75,41.02,43.34,90,0,11.01
Abu Dhabi,AE,1600564536,24.47,54.37,86.0,79,0,4.7
Karera,IN,1600564725,25.47,78.15,80.26,69,98,1.57
Kalianget,ID,1600564725,-7.05,113.93,84.11,71,11,13.82
San Joaquin,VE,1600564725,10.26,-67.79,76.37,81,100,1.28
Prince Rupert,CA,1600564485,54.32,-130.32,57.2,82,75,5.82
Ilhabela,BR,1600564726,-23.78,-45.36,72.32,83,100,3.09
Yantzaza,EC,1600564726,-3.83,-78.76,67.68,84,100,1.25
Pangody,RU,1600564726,65.85,74.49,42.94,80,100,13.31
Twin Falls,US,1600564726,42.56,-114.46,64.4,45,1,11.41
Parkes,AU,1600564727,-33.13,148.18,68.0,74,67,1.01
Manzanillo,CU,1600564727,20.34,-77.12,79.56,81,0,1.01
Las Vegas,US,1600564190,36.17,-115.14,98.6,9,1,14.99
Khanbari,NP,1600564727,27.37,87.2,75.52,61,0,3.33
Sotouboua,TG,1600564727,8.57,0.98,72.73,93,100,3.13
Villa Carlos Paz,AR,1600564550,-31.42,-64.5,55.0,31,0,3.36
Wembley,AU,1600564728,-31.93,115.8,57.2,58,75,18.34
Bereda,ES,1600564728,43.27,-7.54,61.0,100,7,0.58
Havre-St-Pierre,CA,1600564728,50.23,-63.6,42.8,87,90,5.82
Angoram,PG,1600564728,-4.06,144.07,85.14,69,82,3.33
Kabansk,RU,1600564789,52.05,106.65,51.8,66,90,13.42
Iwanai,JP,1600564789,42.97,140.51,69.66,54,0,7.83
San Policarpo,PH,1600564789,12.18,125.51,84.67,76,95,5.88
Montepuez,MZ,1600564789,-13.13,39.0,63.01,97,2,2.51
Evensk,RU,1600564789,61.95,159.23,44.94,65,83,14.07
Funehikimachi-funehiki,JP,1600564790,37.43,140.58,70.0,77,75,9.17
Sohna,IN,1600564790,28.25,77.07,89.01,83,20,3.06
Chernyshevskiy,RU,1600564790,63.01,112.47,46.51,74,99,2.71
Lamisahan,PH,1600564790,7.07,122.16,84.2,83,40,1.12
Avilés,ES,1600564790,43.55,-5.92,62.01,93,100,5.82
Besleney,RU,1600564791,44.24,41.74,48.0,7,0,5.99
Camacupa,AO,1600564791,-12.02,17.48,70.9,55,97,4.56
Xam Nua,LA,1600564791,20.42,104.04,67.42,95,100,1.45
Ucluelet,CA,1600564733,48.93,-125.55,64.0,93,75,4.7
Tevaitoa,PF,1600564791,-16.78,-151.5,79.12,77,0,19.62
Ilhéus,BR,1600564792,-14.79,-39.05,72.09,90,13,6.76
Tumarbong,PH,1600564792,10.38,119.46,85.5,66,59,3.15
Alice,US,1600564792,27.75,-98.07,77.0,65,1,5.82
Khovd,MN,1600564792,48.01,91.64,47.95,51,0,1.3
Umm Kaddadah,SD,1600564793,13.6,26.69,80.51,57,100,7.72
Tura,IN,1600564793,25.52,90.22,80.42,84,3,3.71
Gallup,US,1600564793,35.53,-108.74,78.8,13,1,9.17
Chainat,TH,1600564793,15.19,100.12,76.14,94,100,11.52
Cabadiangan,PH,1600564793,9.75,122.47,85.15,70,89,1.81
Bagdarin,RU,1600564794,54.43,113.6,45.61,78,100,2.08
Kavieng,PG,1600564794,-2.57,150.8,85.05,69,2,9.42
Weligama,LK,1600564794,5.97,80.42,78.73,86,100,13.78
Rayong,TH,1600564567,12.83,101.43,82.99,94,100,8.9
‘Ewa Beach,US,1600564795,21.32,-158.01,89.6,46,90,9.17
Karasburg,NA,1600564795,-28.02,18.75,53.19,57,0,12.64
Westport,US,1600564795,41.14,-73.36,55.4,43,1,9.17
Hammerfest,NO,1600564795,70.66,23.68,41.0,86,100,17.22
Duluth,US,1600564746,46.78,-92.11,64.4,87,40,3.36
La Rioja,ES,1600564796,42.25,-2.5,57.2,93,20,5.64
Novogurovskiy,RU,1600564796,54.47,37.34,42.8,93,3,6.71
Hofn,IS,1600564796,64.25,-15.21,47.7,74,67,18.32
Narrabri,AU,1600564796,-30.32,149.78,66.2,68,90,24.16
Bajil,YE,1600564797,15.06,43.29,90.39,58,100,2.21
Santa Cruz do Capibaribe,BR,1600564797,-7.96,-36.2,69.4,85,86,9.06
Qui Nhon,VN,1600564749,13.77,109.23,81.55,75,100,3.33
Acapulco de Juárez,MX,1600564733,16.86,-99.89,86.0,74,75,5.82
Lerwick,GB,1600564797,60.15,-1.15,53.6,100,98,4.7
Zhangaözen,KZ,1600564797,43.3,52.8,54.07,55,0,8.99
Huasahuasi,PE,1600564858,-11.32,-75.62,42.71,95,100,2.62
Severo-Yeniseyskiy,RU,1600564858,60.37,93.04,38.46,91,58,8.46
Sahuaripa,MX,1600564858,29.05,-109.23,85.03,42,96,2.21
Finschhafen,PG,1600564858,-6.6,147.87,84.07,66,78,9.71
Kazachinskoye,RU,1600564859,57.7,93.28,46.15,93,84,5.48
Krasnoborsk,RU,1600564859,61.56,45.93,41.85,93,100,6.89
Yantal',RU,1600564859,56.85,105.25,45.05,87,100,7.23
Manggar,ID,1600564859,-2.88,108.27,81.97,76,100,3.4
Hobbs,US,1600564860,32.7,-103.14,75.2,38,1,6.93
Sakaiminato,JP,1600564860,35.55,133.23,71.6,68,40,2.24
Xingyi,CN,1600564860,24.19,102.82,62.28,88,88,2.89
Arrondissement de Moulins,FR,1600564860,46.5,3.33,64.0,82,99,3.09
Plettenberg Bay,ZA,1600564861,-34.05,23.37,53.94,86,7,4.76
Kikuchi,JP,1600564861,32.98,130.82,69.8,68,99,4.7
Oskemen,KZ,1600564861,49.96,82.61,33.8,69,0,2.35
Great Yarmouth,GB,1600564861,52.61,1.73,62.01,98,0,5.99
Marsaxlokk,MT,1600564861,35.84,14.54,75.99,94,35,4.7
Navahrudak,BY,1600564862,53.6,25.83,45.66,96,0,4.21
São José da Coroa Grande,BR,1600564862,-8.9,-35.15,74.84,83,6,8.72
Ha Tinh,VN,1600564862,18.33,105.9,77.85,91,100,2.75
Port Blair,IN,1600564635,11.67,92.75,81.77,80,100,27.78
Melo,UY,1600564862,-32.37,-54.18,41.92,73,0,6.96
Gorontalo,ID,1600564574,0.54,123.06,86.27,67,5,2.26
Salemi,IT,1600564863,37.82,12.81,75.2,88,100,2.24
Belmonte,BR,1600564863,-15.86,-38.88,75.2,73,20,11.41
Neiafu,TO,1600564863,-18.65,-173.98,78.8,78,75,10.29
Mikhaylovka,RU,1600564864,50.06,43.24,45.95,86,0,7.74
Jumla,NP,1600564864,29.27,82.18,58.84,65,0,3.62
Uchiza,PE,1600564864,-8.46,-76.46,71.4,82,95,3.15
Houma,US,1600564858,29.6,-90.72,71.01,100,90,17.22
Funadhoo,MV,1600564864,6.15,73.27,82.35,78,100,15.17
Vilyuysk,RU,1600564865,63.76,121.62,48.96,60,99,4.94
Rio Grande,BR,1600564865,-32.03,-52.1,52.18,63,75,13.69
Papara,BR,1600564865,-3.98,-38.73,80.6,74,75,12.75
Qaqortoq,GL,1600564865,60.72,-46.03,33.8,50,0,10.29
Verkhnetulomskiy,RU,1600564865,68.61,31.8,41.0,86,75,6.71
Carora,VE,1600564866,10.18,-70.08,80.31,71,100,2.57
Shahreza,IR,1600564866,32.03,51.88,54.84,40,0,1.21
Ailigandí,PA,1600564866,9.23,-78.02,80.62,79,52,0.87
Shache,CN,1600564866,38.42,77.24,47.39,89,0,3.83
Gatesville,US,1600564624,31.44,-97.74,77.0,60,1,10.04
Trstená,SK,1600564867,49.36,19.61,54.0,93,100,2.24
Aloleng,PH,1600564867,16.13,119.78,84.94,71,10,3.24
Abalak,RU,1600564867,58.13,68.59,47.12,82,100,8.86
Progreso,MX,1600564867,21.28,-89.67,84.99,88,40,9.46
Nouakchott,MR,1600564928,18.09,-15.98,75.2,94,40,6.93
Araouane,ML,1600564928,18.9,-3.53,94.55,30,36,12.77
Marsh Harbour,BS,1600564928,26.54,-77.06,84.15,74,17,5.08
Kurduvādi,IN,1600564928,18.08,75.43,73.69,91,78,10.2
Eirunepé,BR,1600564928,-6.66,-69.87,81.01,62,1,0.47
Arlit,NE,1600564929,18.74,7.39,91.27,13,0,11.68
Riberalta,BO,1600564929,-10.98,-66.1,87.04,44,46,2.98
Grand Gaube,MU,1600564929,-20.01,57.66,68.0,76,88,3.0
Maniitsoq,GL,1600564685,65.42,-52.9,36.03,83,96,13.49
Dromolaxia,CY,1600564929,34.88,33.59,75.2,64,0,8.05
Palanga,LT,1600564930,55.92,21.07,44.6,93,9,4.7
Homer,US,1600564930,59.64,-151.55,51.8,81,90,8.05
Lázaro Cárdenas,MX,1600564930,17.96,-102.2,80.17,84,100,10.02
Gimli,CA,1600564930,50.63,-96.99,64.99,97,0,9.57
Khuzhir,RU,1600564930,53.19,107.34,51.28,67,97,12.01
Irbeyskoye,RU,1600564931,55.64,95.45,48.58,89,100,6.58
Ayr,GB,1600564931,55.46,-4.63,51.01,93,0,2.24
Krasnovka,RU,1600564931,48.82,40.09,45.84,78,0,7.63
Atar,MR,1600564931,20.52,-13.05,90.55,43,84,2.64
Kruisfontein,ZA,1600564932,-34.0,24.73,53.01,85,0,1.01
Roswell,US,1600564829,34.02,-84.36,66.0,77,1,3.36
Ust-Maya,RU,1600564932,60.42,134.53,52.09,54,88,4.52
Luena,AO,1600564932,-11.78,19.92,69.57,63,27,2.68
Dawlatabad,AF,1600564932,36.41,64.91,50.0,53,0,1.86
Bay-Khaak,RU,1600564932,51.17,94.5,48.0,58,0,0.96
Nemuro,JP,1600564933,43.32,145.57,69.8,60,75,10.29
Daru,PG,1600564933,-9.08,143.21,79.52,83,100,15.99
Tonantins,BR,1600564933,-2.87,-67.8,77.13,86,36,1.43
Muzhi,RU,1600564933,65.37,64.67,44.19,97,100,10.0
Nagapattinam,IN,1600564933,10.77,79.83,79.38,78,100,7.45
Chara,RU,1600564934,56.91,118.26,49.89,54,67,0.92
Mala,PE,1600564934,-12.66,-76.63,62.33,78,53,5.64
Acajutla,SV,1600564642,13.59,-89.83,73.0,100,100,1.83
Lompoc,US,1600564656,34.64,-120.46,62.6,77,75,14.99
Nizhniy Kuranakh,RU,1600564934,58.84,125.49,52.61,50,0,0.11
Amahai,ID,1600564934,-3.33,128.92,79.63,83,92,2.08
Yong’an,CN,1600564935,39.7,113.69,66.65,29,0,3.78
Leshukonskoye,RU,1600564935,64.9,45.76,36.99,91,100,5.66
Saint George,US,1600564935,37.1,-113.58,93.2,13,1,12.75
Deputatsky,RU,1600564935,69.3,139.9,45.82,64,21,1.12
La Sarre,CA,1600564935,48.8,-79.2,35.6,84,0,0.98
Alindao,CF,1600564936,5.03,21.21,68.68,96,100,1.52
Conde,BR,1600564877,-7.26,-34.91,77.0,83,40,8.05
Ambalavao,MG,1600564936,-21.83,46.93,50.83,76,0,2.84
Saint Anthony,US,1600564936,45.02,-93.22,64.99,55,1,9.17
Härnösand,SE,1600564936,62.63,17.94,44.01,100,49,3.36
Tairua,NZ,1600564937,-37.02,175.85,57.09,75,53,10.36
Saposoa,PE,1600564937,-6.93,-76.77,72.73,83,39,3.31
Ambilobe,MG,1600564997,-13.2,49.05,64.85,80,0,4.14
Valdosta,US,1600564997,30.83,-83.28,73.4,69,20,6.93
Bend,US,1600564997,44.06,-121.32,64.0,48,1,10.29
Kirakira,SB,1600564998,-10.45,161.92,82.85,74,71,12.06
Xichang,CN,1600564998,27.9,102.26,67.15,74,98,1.45
Papagaios,BR,1600564998,-19.45,-44.75,77.79,31,93,5.14
Morondava,MG,1600564998,-20.28,44.28,72.36,89,1,4.21
Itamaracá,BR,1600564998,-7.75,-34.83,78.8,74,75,8.05
Coahuayana Viejo,MX,1600564999,18.73,-103.68,78.73,86,100,3.42
Tataouine,TN,1600564999,32.93,10.45,77.0,53,0,2.24
Mgachi,RU,1600564999,51.05,142.27,55.18,61,95,2.06
Khasan,RU,1600564999,42.43,130.64,57.52,80,98,12.77
Romny,UA,1600564999,50.75,33.47,46.15,86,0,6.69
Bedi,IN,1600565000,22.5,70.05,82.08,81,42,8.19
Dalby,AU,1600565000,-27.18,151.27,75.2,50,40,12.75
Teupasenti,HN,1600565000,14.22,-86.7,77.0,61,40,2.24
Christchurch,NZ,1600564743,-43.53,172.63,57.99,67,0,14.99
Springbok,ZA,1600565000,-29.66,17.89,44.74,86,0,3.94
